UN Code,Country,Continent,Alphabetic code
12,Algeria,Africa,DZA
24,Angola,Africa,AGO
72,Botswana,Africa,BWA
86,British Indian Ocean Territory,Africa,IOT
108,Burundi,Africa,BDI
120,Cameroon,Africa,CMR
132,Cabo Verde,Africa,CPV
140,Central African Republic,Africa,CAF
148,Chad,Africa,TCD
174,Comoros,Africa,COM
175,Mayotte,Africa,MYT
178,Congo,Africa,COG
180,Democratic Republic of the Congo,Africa,COD
204,Benin,Africa,BEN
226,Equatorial Guinea,Africa,GNQ
231,Ethiopia,Africa,ETH
232,Eritrea,Africa,ERI
260,French Southern Territories,Africa,ATF
262,Djibouti,Africa,DJI
266,Gabon,Africa,GAB
270,Gambia,Africa,GMB
288,Ghana,Africa,GHA
324,Guinea,Africa,GIN
384,Côte d’Ivoire,Africa,CIV
404,Kenya,Africa,KEN
426,Lesotho,Africa,LSO
430,Liberia,Africa,LBR
434,Libya,Africa,LBY
450,Madagascar,Africa,MDG
454,Malawi,Africa,MWI
466,Mali,Africa,MLI
478,Mauritania,Africa,MRT
480,Mauritius,Africa,MUS
504,Morocco,Africa,MAR
508,Mozambique,Africa,MOZ
516,Namibia,Africa,NAM
562,Niger,Africa,NER
566,Nigeria,Africa,NGA
624,Guinea-Bissau,Africa,GNB
638,Réunion,Africa,REU
646,Rwanda,Africa,RWA
654,Saint Helena,Africa,SHN
678,Sao Tome and Principe,Africa,STP
686,Senegal,Africa,SEN
690,Seychelles,Africa,SYC
694,Sierra Leone,Africa,SLE
706,Somalia,Africa,SOM
710,South Africa,Africa,ZAF
716,Zimbabwe,Africa,ZWE
728,South Sudan,Africa,SSD
729,Sudan,Africa,SDN
732,Western Sahara,Africa,ESH
748,Eswatini,Africa,SWZ
768,Togo,Africa,TGO
788,Tunisia,Africa,TUN
800,Uganda,Africa,UGA
818,Egypt,Africa,EGY
834,United Republic of Tanzania,Africa,TZA
854,Burkina Faso,Africa,BFA
894,Zambia,Africa,ZMB
10,Antarctica,Antarctica,ATA
4,Afghanistan,Asia,AFG
31,Azerbaijan,Asia,AZE
48,Bahrain,Asia,BHR
50,Bangladesh,Asia,BGD
51,Armenia,Asia,ARM
64,Bhutan,Asia,BTN
96,Brunei Darussalam,Asia,BRN
104,Myanmar,Asia,MMR
116,Cambodia,Asia,KHM
144,Sri Lanka,Asia,LKA
156,China,Asia,CHN
196,Cyprus,Asia,CYP
268,Georgia,Asia,GEO
275,State of Palestine,Asia,PSE
344,"China, Hong Kong Special Administrative Region",Asia,HKG
356,India,Asia,IND
360,Indonesia,Asia,IDN
364,Iran (Islamic Republic of),Asia,IRN
368,Iraq,Asia,IRQ
376,Israel,Asia,ISR
392,Japan,Asia,JPN
398,Kazakhstan,Asia,KAZ
400,Jordan,Asia,JOR
408,Democratic People's Republic of Korea,Asia,PRK
410,Republic of Korea,Asia,KOR
414,Kuwait,Asia,KWT
417,Kyrgyzstan,Asia,KGZ
418,Lao People's Democratic Republic,Asia,LAO
422,Lebanon,Asia,LBN
446,"China, Macao Special Administrative Region",Asia,MAC
