"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","981607427.198877","1139434503.72889","1351923640.91077","1515909822.86634","1575961100.76557","1701452873.81139","1801538336.97676","1933189215.44814","2091786180.15635","2145066984.42771","2170502935.00301","2323455541.5216","2369738447.19726","2399076806.9702","2581804607.81403","2505092564.79457","2423084691.96376","2470953875.24177","2666444959.29254","2698824916.29108","2727178974.02819","2776274358.20761","2773756053.97674","2481963892.1005","2390502793.29609","2472880828.36298","2439005748.52239","2541400876.22235","2549025078.85102","2694319530.67228","2750900229.65302","2805918209.60966","","","",
"Africa Eastern and Southern","AFE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","154443036827.879","156085841958.593","167719798000.354","177347787155.924","187055716538.028","197519870220.268","205536638332.696","217484519333.283","226285266487.019","238003954766.965","249561347735.061","262291379887.564","268071976898.412","280024562893.571","296376099621.832","300588409963.715","307936774162.57","310225135847.022","315336223418.037","325346225562.259","343914692169.398","358295419233.922","359027862905.976","358425137309.883","371328304459.523","370174697301.805","376843965619.359","390511186084.375","407087702914.983","417862183848.417","418083554847.982","417720215619.532","408716328431.108","405994143828.861","414468301945.4","432327526883.397","455719081056.785","471365864767.595","479179613904.373","491985000346.054","508751612506.672","525973225726.942","547419600659.038","564699708935.449","595326106274.242","632905121112.022","676145901474.267","724180992348.515","758918649729.481","766806859735.873","803688606377.652","837459536244.911","864601396369.752","903251720968.347","940203009774.645","966183101543.023","985550617559.176","1013464245342.21","1037643771252.14","1055002768477.95","1017284599324.38",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7465114629.20396","8124454292.28697","8239343661.259","9164598457.75828","9655582953.49947","10990594706.8702","11421973771.0142","13865194313.5562","15856574731.441","15924179996.471","17954877146.145","18960483968.7729","19477070576.5166","19759744157.1511","20206376460.4766","20741239892.3851","20987900551.3602","21808863986.9923","21386910830.2407",
"Africa Western and Central","AFW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","101480180319.543","103406878903.829","107352961188.162","114911563026.567","120925156706.521","125973977963.305","123710935957.082","112080037319.077","113674733496.423","130848509894.339","153902655235.772","170260518402.312","175730939287.29","182937241434.138","202206533953.212","198347947439.75","215749895190.475","225105392580.46","219353494021.817","230744481070.139","236002947946.621","220343511654.968","213533485323.072","200350431123.038","201885688455.106","212963857550.655","215815162561.604","218415971493.967","229132557653.884","234454103671.903","249546401270.978","252592880027.923","259372401279.705","256361159978.946","255781536424.309","260927482535.41","272920918138.21","283370251502.006","293590649252.91","297709849207.159","308462109279.456","325943947810.47","358311537807.526","379355322845.239","409769421076.224","434377828092.171","457216566220.557","482766516877.712","512579438531.923","544079692609.626","580217267150.154","609256413371.14","641380137183.94","678781469889.274","718378449339.794","738027292289.228","738012572096.599","753981300799.73","775330574368.609","799733962381.571","791905189146.896",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","26637104502.1564","25465071579.2589","25465071579.2589","26534604949.3159","28126681820.5827","29111115540.7262","29955338398.7124","31178339568.7414","33089225853.2073","33102998072.7204","31960911971.9797","32277759445.6456","30393293234.844","23103942843.9427","23413388606.7796","26925396904.5545","30572272219.3363","32796184094.1753","34334701120.3514","35083709095.1369","36155384575.451","37676079528.6812","42824774451.2357","44105170974.6178","48935949384.3211","56290491777.1201","62790739426.972","71587733475.3748","79581318822.8055","80264693646.7985","83799496611.2004","86708995310.3851","94115840392.858","98778851724.4208","103542587859.422","104519586272.323","101822929058.742","101673032530.175","99635881425.7512","99013511554.0281","95012860718.0854",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5323398063.85534","5629261101.74622","5795245314.54426","5859279197.3914","5785944655.55332","5888971729.57823","6220947386.67305","6171936109.61493","6084292169.38809","6682776548.1368","6042857912.55639","4350728279.80877","4038036612.66906","4424049156.84258","4791372056.26117","5429694612.20147","5923796791.7011","5276919124.81347","5742875711.85154","6483126460.62459","6933706092.26578","7508515182.79876","7849398816.77983","8283474557.11024","8739893896.95844","9223202583.88038","9767379279.88863","10351466806.2388","11127823665.7504","11500613161.6647","11926928505.5231","12230507222.1843","12403877841.0321","12528163103.1195","12750473701.7819","13033375121.5884","13465406059.6498","13977387390.5945","14546448944.4056","14862643983.3091","14370506253.3253",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1012346692.50671","1059415401.3062","1145755038.99145","1234991794.42933","1304383386.5365","1311455827.07027","1354783534.84503","1393240089.2387","1413623194.23724","1414210656.38646","1445446717.57423","1443531869.0965","1461524932.50469","1487395653.0415","1513941005.34203","1549086131.92805","1599482888.42279","1688208158.34045","1774210988.9159","1859852760.9129","1930181002.39944","1979323478.72199","1997715630.38579","1977109505.50179","2024227628.26462","2080045737.77012","2176762428.74188","2374144107.11918","2449993106.19117","2550420257.1921","2640408325.59989","2854792522.86889","2984581731.4066","3244067347.20933","3507994166.77714","3697348535.06562","3875142516.24022","3935330770.25056","3716558398.51518","3519475009.94299","3449966856.68832","3449688452.87021","3278085642.31738","3161792390.29564","3240978390.56079","3287458570.8604","3409412700.51704","3421211719.47501","3475566750.62972","3545618454.19594","3121702240.48787",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","571337109051.328","661283802527.038","715752552571.378","710753700924.094","793470336979.517","865381815699.463","891769353901.094","811156715722.429","755436242474.727","765299098413.145","747101778448.68","782115606360.972","778235707228.905","822211133754.526","841924705696.151","951925852780.615","966368570663.951","1014143362402.33","1047320035583.62","1080808501218.44","1110617100906.89","1161662917342.37","1210959456446.97","1274698624142.7","1297711356075.65","1385513444971.61","1406839769587.15","1412338020066.89","1478531773812.55","1618428541469.41","1708456097030.71","1814852800535.11","1897985957012.27","2008414065828.38","2017054082306.7","2111125616635.67","2191150049386.26","2336741242578","2415317994874.78","2478019035225.78","2562157868026.33","2648908473588.08","2675546186903.93","2732710239342.48","2774361550913.98","2635656396303.34",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673982.3009","66195031477.1954","80386802831.8584","79108971545.2689","95661395017.0184","118500337753.574","124021477848.877","115688082614.023","110197733641.933","114624322913.547","110504178543.227","93974812607.2158","97153023580.6671","94608675561.6065","106281391095.984","125760629081.007","126842273546.63","131085077658.271","132738310796.46","141892141892.444","151381727243.022","160159451463.581","173277148999.319","173783108481.96","178826665568.414","198234194635.807","201007659577.944","205899094159.292","224019327978.216","245449995044.248","257366938869.98","282684947637.849","291686739332.879","300996902491.491","285215869952.349","289787338325.391","309870388019.061","323766916269.571","340127978216.474","354700093723.621","372810856991.15","384222464261.402","393342125500.34","398022328958.475","404700030660.313","",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","220606374392.254","209157368731.779","207618683386.485","216648213592.787","220051190931.379","208632681046.742","221470636587.663","227461126795.486","224981952135.065","208880107086.685","203726588308.536","222333162871.504","239980394235.249","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455825423287.839","446342760088.163","458922944072.26","447149955687.39","437813398163.194","394446952845.238",
