UN Code	Name	1990	1995	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
12	Algeria	61901990000	71818921362	83229773815	99884453999	123910914852	161684194325	214648108133	288823298101	385098820154	481374342207	577649864259	673925386312	770200908364	946544446505	1122887984646	1299231522786	1475575060927	1651918599068	1902491756221	2153064913374	2403638070528	2654211227681	2904784384834
24	Angola	10260190000	11903910985	13795247826	16555743621	20538104340	26798985845	35577699079	47872159117	63829726048	79787292980	95744859911	111702426843	127659993774	156888750500	186117507227	215346263953	244575020680	273803777406	315336015728	356868254051	398400492373	439932730695	481464969017
72	Botswana	3765789000	4369082546	5063258333	6076440808	7538083350	9836009480	13058053295	17570478735	23427371250	29284263765	35141156281	40998048796	46854941311	57582747577	68310553842	79038360107	89766166372	100493972637	115737515517	130981058397	146224601277	161468144156	176711687036
108	Burundi	1132101000	1313467833	1522156399	1826747254	2266157689	2956978250	3925614312	5282175009	7042919935	8803664861	10564409787	12325154713	14085899638	17310976827	20536054015	23761131204	26986208392	30211285581	34793918898	39376552216	43959185533	48541818851	53124452168
120	Cameroon	11151650000	12938186226	14993852494	17994194879	22322564325	29127424589	38668879224	52031547488	69375592897	86719638307	104063683716	121407729126	138751774535	170520081452	202288388370	234056695287	265825002204	297593309121	342734089700	387874870278	433015650857	478156431436	523297212014
132	Cape Verde	338691000	392950571	455383992	546508531	677967084	884640081	1174427226	1580269902	2107032496	2633795090	3160557684	3687320279	4214082873	5178930195	6143777517	7108624839	8073472161	9038319483	10409307284	11780295085	13151282887	14522270688	15893258489
140	Central African Republic	1487511000	1725815851	2000019774	2400233402	2977591655	3885287332	5158015469	6940452690	9253963097	11567473504	13880983911	16194494318	18508004725	22745557553	26983110380	31220663208	35458216036	39695768863	45717066847	51738364831	57759662814	63780960798	69802258781
148	Chad	1738611000	2017143014	2337634061	2805405940	3480225427	4541145103	6028716717	8112039098	10816082727	13520126356	16224169985	18928213614	21632257242	26585132185	31538007128	36490882071	41443757014	46396631957	53434358003	60472084049	67509810096	74547536142	81585262188
174	Comoros	250033100	290089342	336179796	403450999	500498129	653071094	867001721	1166608450	1555482333	1944356216	2333230099	2722103983	3110977866	3823260646	4535543425	5247826205	5960108985	6672391764	7684501121	8696610477	9708719834	10720829190	11732938546
178	Congo	2798754000	3247124906	3763039967	4516042459	5602342810	7310173479	9704813225	13058471317	17411344341	21764217366	26117090391	30469963415	34822836440	42795797935	50768759430	58741720926	66714682421	74687643916	86016724385	97345804853	108674885322	120003965790	131333046259
180	Democratic Republic of the Congo	11195000000	12988481059	15052138354	18064144021	22409339211	29240652126	38819197421	52233810613	69645277827	87056745042	104468212256	121879679470	139291146684	171182947085	203074747486	234966547886	266858348287	298750148688	344066405796	389382662903	434698920011	480015177119	525331434227
204	Benin	1845042000	2140624660	2480734922	2977141975	3693271285	4819136336	6397771295	8608626566	11478201223	14347775881	17217350538	20086925196	22956499854	28212570528	33468641201	38724711875	43980782549	49236853223	56705401472	64173949721	71642497970	79111046219	86579594468
226	Equatorial Guinea	132136500	153305264	177662964	213214182	264501264	345132419	458189628	616524602	822035128	1027545654	1233056179	1438566705	1644077231	2020501607	2396925982	2773350358	3149774733	3526199109	4061074643	4595950177	5130825712	5665701246	6200576781
231	Ethiopia	6841692000	7937756762	9198936539	11039688221	13695202931	17870079118	23723893920	31922076302	42562888803	53203701304	63844513805	74485326306	85126138807	104616435874	124106732941	143597030008	163087327075	182577624142	210272119339	237966614536	265661109732	293355604929	321050100125
232	Eritrea																							
262	Djibouti	424778200	492829264	571131776	685418006	850290199	1109494558	1472938705	1981936941	2642590063	3303243185	3963896307	4624549429	5285202552	6495291124	7705379697	8915468269	10125556841	11335645414	13055105720	14774566026	16494026332	18213486638	19932946944
266	Gabon	5952311000	6905893585	8003127173	9604591618	11914904537	15547070593	20639922806	27772388163	37029955633	46287523103	55545090573	64802658043	74060225512	91016894948	107973564384	124930233820	141886903256	158843572692	182937941219	207032309746	231126678274	255221046801	279315415328
270	Gambia	316922500	367694675	426115348	511383089	634392479	827782097	1098943912	1478702085	1971608358	2464514630	2957420902	3450327174	3943233447	4846067668	5748901890	6651736112	7554570334	8457404555	9740275613	11023146671	12306017729	13588888787	14871759845
288	Ghana	5886004000	6828963954	7913974681	9497599282	11782175992	15373880784	20410000116	27463011899	36617452780	45771893662	54926334543	64080775425	73235216306	90002993414	106770770523	123538547631	140306324739	157074101847	180900066170	204726030494	228551994818	252377959141	276203923465
324	Guinea	2818024000	3269482032	3788949275	4547136346	5640916098	7360505535	9771632871	13148381592	17531225047	21914068503	26296911958	30679755414	35062598869	43090455853	51118312837	59146169821	67174026804	75201883788	86608967318	98016050848	109423134378	120830217909	132237301439
384	Cote d'Ivoire	10796040000	12525606168	14515720210	17420386013	21610730013	28198593120	37435784558	50372336644	67163305515	83954274385	100745243255	117536212126	134327180996	165082442523	195837704050	226592965578	257348227105	288103488632	331804794964	375506101296	419207407628	462908713960	506610020293
404	Kenya	8533197000	9900247218	11473234644	13769084374	17081134983	22288186243	29589268332	39814327470	53085920127	66357512784	79629105441	92900698099	106172290756	130481269363	154790247970	179099226576	203408205183	227717183790	262258724586	296800265381	331341806176	365883346972	400424887767
426	Lesotho	622218300	721900009	836598119	1004005447	1245511474	1625195968	2157571686	2903156127	3870885786	4838615445	5806345104	6774074762	7741804421	9514351257	11286898093	13059444929	14831991765	16604538601	19123216981	21641895361	24160573740	26679252120	29197930499
430	Liberia	1258567900	1460195206	1692196352	2030813024	2519309959	3287302022	4364144330	5872246300	7829683882	9787121464	11744559046	13701996627	15659434209	19244784478	22830134746	26415485015	30000835284	33586185552	38680744422	43775303291	48869862161	53964421030	59058979900
434	Libyan Arab Jamahiriya	30846052276	35787705738	41473787095	49772892432	61745390691	80567993216	106960160157	143922005605	191896550303	239871095001	287845639699	335820184396	383794729094	471667542165	559540355237	647413168308	735285981380	823158794451	948020575220	1072882355988	1197744136757	1322605917525	1447467698294
450	Madagascar	3081284000	3574917273	4142913182	4971930142	6167890876	8048124479	10684499500	14376704324	19168993322	23961282321	28753571320	33545860319	38338149318	47115969265	55893789212	64671609159	73449429106	82227249053	94699983128	107172717202	119645451277	132118185352	144590919427
454	Malawi	1802901000	2091732514	2424074613	2909143664	3608916487	4709066633	6251645364	8412004412	11216037610	14020070808	16824104006	19628137204	22432170402	27568191736	32704213070	37840234404	42976255738	48112277072	55410242704	62708208337	70006173969	77304139602	84602105234
466	Mali	2421179000	2809060972	3255374836	3906791081	4846540554	6323970779	8395553872	11296775824	15062410373	18828044922	22593679471	26359314021	30124948570	37022291795	43919635019	50816978244	57714321469	64611664694	74412358760	84213052826	94013746892	103814440958	113615135024
478	Mauritania	1019601000	1182944911	1370895517	1645218339	2040963347	2663135163	3535515186	4757270704	6343045549	7928820393	9514595238	11100370082	12686144926	15590737296	18495329666	21399922036	24304514406	27209106776	31336351176	35463595577	39590839977	43718084377	47845328778
480	Mauritius	2642468000	3065801301	3552907006	4263860877	5289500828	6901964050	9162884053	12329269590	16439072623	20548875655	24658678687	28768481720	32878284752	40406025888	47933767024	55461508161	62989249297	70516990433	81213440571	91909890708	102606340845	113302790983	123999241120
504	Morocco	25820720000	29957296352	34717020977	41664064743	51686044945	67442134091	89534580369	120474729645	160633427254	200792124862	240950822471	281109520079	321268217688	394825095619	468381973550	541938851482	615495729413	689052607345	793572338138	898092068931	1002611799725	1107131530518	1211651261311
508	Mozambique	2512109000	2914558300	3377633964	4053514852	5028557634	6561474352	8710857991	11721038477	15628095510	19535152544	23442209578	27349266611	31256323645	38412704066	45569084487	52725464908	59881845329	67038225750	77206995498	87375765246	97544534993	107713304741	117882074489
516	Namibia	2339873000	2714729445	3146055572	3775596504	4683788099	6111604503	8113621432	10917416984	14556597156	18195777328	21834957500	25474137672	29113317844	35779040281	42444762718	49110485154	55776207591	62441930028	71913505416	81385080804	90856656192	100328231579	109799806967
562	Niger	2480680000	2878094256	3335376380	4002801321	4965645341	6479383735	8601876432	11574396544	15432572381	19290748217	23148924053	27007099890	30865275726	37932122660	44998969593	52065816526	59132663459	66199510393	76241058645	86282606897	96324155149	106365703401	116407251653
566	Nigeria	28472470000	33033866664	38282408014	45942902966	56994125807	74368342155	98729650200	132847307340	177130244179	221413181018	265696117857	309979054696	354261991535	435373052737	516484113939	597595175140	678706236342	759817297544	875071051096	990324804648	1105578558201	1220832311753	1336086065305
624	Guinea-Bissau	243961600	283045165	328016414	393654085	488344640	637212709	845948505	1138279947	1517710890	1897141832	2276572775	2656003717	3035434659	3730421229	4425407800	5120394370	5815380940	6510367510	7497900033	8485432555	9472965078	10460497600	11448030123
638	Reunion	5210732093	6045510951	7006043804	8407987046	10430465655	13610112055	18068462512	24312317401	32416514900	40520712398	48624909897	56729107396	64833304895	79677398495	94521492095	109365585695	124209679295	139053772895	160146303064	181238833234	202331363403	223423893572	244516423742
646	Rwanda	2584367000	2998392303	3474787820	4170109664	5173198459	6750207808	8961416059	12058181012	16077620163	20097059313	24116498464	28135937614	32155376765	39517602448	46879828132	54242053815	61604279499	68966505182	79427768195	89889031209	100350294222	110811557235	121272820248
686	Senegal	5698439000	6611350337	7661785818	9194946207	11406721976	14883972529	19759609516	26587868112	35450591098	44313314083	53176037068	62038760054	70901483039	87134933614	103368384188	119601834763	135835285338	152068735912	175135455594	198202175276	221268894958	244335614639	267402334321
694	Sierra Leone	896823000	1040497414	1205815442	1447104943	1795195250	2342446571	3109776605	4184411142	5579230638	6974050135	8368869631	9763689127	11158508624	13713336682	16268164740	18822992798	21377820856	23932648914	27562900067	31193151219	34823402371	38453653523	42083904675
706	Somalia	917044200	1063958126	1233003678	1479733676	1835672581	2395263103	3179894582	4278759541	5705028860	7131298179	8557567497	9983836816	11410106135	14022539416	16634972697	19247405979	21859839260	24472272542	28184377119	31896481697	35608586274	39320690852	43032795430
710	South Africa	111990000000	129931218743	150575165185	180705983819	224173461212	292510998798	388330676119	522524738775	696701622501	870878506228	1045055389954	1219232273681	1393409157407	1712441111572	2031473065736	2350505019901	2669536974065	2988568928230	3441893415368	3895217902507	4348542389645	4801866876784	5255191363922
716	Zimbabwe	8783878000	10191088256	11810285568	14173580817	17582930031	22942949612	30458516677	40983958901	54645433114	68306907327	81968381539	95629855752	109291329965	134314437059	159337544153	184360651247	209383758342	234406865436	269963138223	305519411010	341075683797	376631956585	412188229372
732	Western Sahara																							
736	Sudan	13166640000	15275985195	17703089498	21245563307	26356025193	34390454659	45655953330	61433120158	81911058585	102388997011	122866935437	143344873863	163822812289	201331329916	238839847542	276348365169	313856882795	351365400421	404662662010	457959923599	511257185188	564554446777	617851708366
748	Swaziland	859915700	997677426	1156192058	1387551679	1721316893	2246046971	2981798778	4012208470	5349626426	6687044382	8024462338	9361880294	10699298250	13148986491	15598674733	18048362975	20498051216	22947739458	26428593496	29909447534	33390301571	36871155609	40352009647
768	Togo	1628432000	1889312924	2189493860	2627622168	3259677094	4253364325	5646665770	7597964152	10130647527	12663330901	15196014276	17728697651	20261381025	24900383107	29539385190	34178387272	38817389354	43456391436	50048123745	56639856053	63231588362	69823320671	76415052979
788	Tunisia	12290570000	14259565489	16525177319	19831945205	24602371794	32102213648	42618138744	57345538697	76460934552	95576330407	114691726262	133807122117	152922517973	187935327731	222948137490	257960947249	292973757008	327986566767	377737583303	427488599839	477239616376	526990632912	576741649448
800	Uganda	4304456000	4994046023	5787518289	6945628684	8616347890	11242974586	14925906856	20083799866	26778475571	33473151276	40167826981	46862502686	53557178391	65819514397	78081850403	90344186409	102606522415	114868858421	132292872249	149716886077	167140899905	184564913733	201988927561
818	Egypt	43130420000	50040075324	57990625199	69594829705	86335347218	112654006900	149556792213	201238605623	268318899841	335399194058	402479488276	469559782493	536640076711	659508030783	782375984855	905243938927	1028111892999	1150979847071	1325567538174	1500155229276	1674742920379	1849330611481	2023918302584
834	United Republic of Tanzania	4258741000	4941007308	5726052590	6871863401	8524838918	11123569815	14767387909	19870502085	26494077726	33117653366	39741229007	46364804647	52988380288	65120485507	77252590726	89384695946	101516801165	113648906384	130887870396	148126834408	165365798420	182604762431	199843726443
854	Burkina Faso	2764559000	3207451738	3717063381	4460865737	5533893738	7220858240	9586240429	12898923737	17198613633	21498303530	25797993426	30097683323	34397373219	42272921573	50148469927	58024018281	65899566635	73775114989	84965777467	96156439944	107347102421	118537764899	129728427376
