Year	World	Africa	Asia	Europe	Latin America and the Caribbean	Northern America	Oceania
1950	2536431.018	227794.137	1404908.992	549328.859	168820.524	172602.611	12975.895
1951	2584034.227	232327.857	1435819.067	554324.506	173280.491	175016.588	13265.718
1952	2630861.69	237096.56	1464833.757	559694.362	177915.929	177778.5	13542.582
1953	2677609.061	242092.456	1492894.964	565281.964	182708.882	180813.186	13817.609
1954	2724846.754	247310.597	1520767.943	570969.74	187647.746	184051.533	14099.195
1955	2773019.915	252748.917	1549041.914	576678.764	192727.225	187430.405	14392.69
1956	2822443.254	258408.217	1578122.023	582371.318	197948.656	190892.803	14700.237
1957	2873306.058	264292.214	1608237.026	588048.223	203319.926	194387.684	15020.985
1958	2925686.68	270407.028	1639460.782	593743.357	208853.819	197870.177	15351.517
1959	2979576.147	276760.722	1671747.88	599513.229	214566.099	201301.492	15686.725
1960	3034949.715	283361.171	1705041.057	605406.966	220469.724	204649.165	16021.632
1961	3091843.513	290214.467	1739385.847	611434.035	226567.965	207887.204	16353.995
1962	3150420.761	297322.604	1775030.792	617536.17	232848.86	210996.182	16686.153
1963	3211000.946	304683.366	1812470.355	623575.133	239282.573	213963.478	17026.041
1964	3273978.272	312291.849	1852323.205	629367.166	245828.548	216782.875	17384.629
1965	3339583.51	320147.295	1894974.242	634783.191	252455.927	219454.161	17768.694
1966	3407922.631	328256.594	1940602.034	639761.941	259154.154	221966.407	18181.501
1967	3478770.104	336631.177	1988923.053	644345.492	265925.616	224327.311	18617.455
1968	3551599.436	345280.354	2039270.161	648636.121	272768.308	226580.62	19063.872
1969	3625680.965	354214.822	2090702.385	652789.653	279684.291	228786.676	19503.138
1970	3700437.042	363447.593	2142480.29	656919.37	286675.705	230991.859	19922.225
1971	3775760.03	372983.506	2194450.679	661056.103	293738.009	233213.535	20318.198
1972	3851650.588	382837.766	2246636.202	665163.511	300869.446	235449.567	20694.096
1973	3927780.519	393044.438	2298696.357	669207.973	308078.654	237703.018	21050.079
1974	4003794.178	403645.936	2350279.012	673132.239	315378.185	239970.84	21387.966
1975	4079480.474	414674.676	2401171.424	676895.457	322777.147	242251.495	21710.275
1976	4154666.827	426144.456	2451184.258	680497.657	330272.366	244552.723	22015.367
1977	4229505.919	438054.807	2500443.525	683959.538	337860.349	246882.303	22305.397
1978	4304533.599	450403.897	2549465.8	687285.86	345548.257	249237.761	22592.024
1979	4380506.185	463183.561	2598988.419	690485.017	353344.976	251613.704	22890.508
1980	4458003.466	476386.225	2649578.327	693566.516	361253.181	254007.133	23212.084
1981	4536996.619	490003.905	2701224.867	696513.45	369274.506	256418.904	23560.987
1982	4617386.526	504034.176	2753837.835	699330.019	377395.867	258854.001	23934.628
1983	4699569.187	518479.76	2807785.245	702070.425	385586.591	261318.321	24328.845
1984	4784011.517	533345.152	2863496.847	704807.481	393806.371	263819.447	24736.219
1985	4870921.666	548626.14	2921173.21	707584.186	402023.662	266363.427	25151.041
1986	4960568	564327.298	2981064.008	710422.127	410223.399	268958.509	25572.659
1987	5052521.998	580424.292	3042805.985	713279.278	418404.105	271606.615	26001.723
1988	5145425.994	596849.007	3105220.238	716056.662	426564.862	274300.338	26434.887
1989	5237441.434	613512.108	3166705.918	718617.276	434709.748	277028.164	26868.22
1990	5327231.04100001	630349.685	3226098.922	720858.411	442840.078	279785.251	27298.694
1991	5414289.383	647344.041	3282945.323	722775.857	450946.515	282552.404	27725.243
1992	5498919.893	664512.034	3337511.634	724390.027	459018.543	285339.701	28147.954
1993	5581597.598	681869.333	3390245.425	725656.793	467054.731	288205.114	28566.202
1994	5663150.428	699445.413	3441912.676	726529.356	475055.721	291227.272	28979.99
1995	5744212.93	717270.112	3493086.998	726994.433	483018.226	294453.532	29389.629
1996	5824891.93100001	735361.107	3543851.235	727020.289	490944.026	297918.803	29796.471
1997	5905045.647	753737.584	3594032.705	726669.424	498821.719	301582.343	30201.872
1998	5984794.075	772437.162	3643662.915	726141.84	506620.735	305324.078	30607.345
1999	6064239.03300001	791504.165	3692736.104	725705.442	514301.361	308977.739	31014.222
2000	6143493.806	810984.232	3741263.352	725558.028	521836.322	312426.785	31425.087
2001	6222626.531	830902.539	3789285.36	725771.936	529213.159	315615.985	31837.552
2002	6301773.17199999	851298.437	3836880.249	726312.064	536441.575	318585.949	32254.898
2003	6381185.141	872248.337	3884134.618	727134.243	543544.13	321432.406	32691.407
2004	6461159.391	893842.786	3931146.463	728149.839	550555.242	324299.295	33165.766
2005	6541906.956	916154.285	3977986.452	729287.881	557500.981	327287.144	33690.213
2006	6623517.917	939210.049	4024679.886	730546.853	564384.717	330425.339	34271.073
2007	6705946.643	963021.837	4071214.938	731938.559	571201.889	333668.494	34900.926
2008	6789088.672	987623.52	4117572.12	733416.483	577962.665	336952.722	35561.162
2009	6872766.988	1013045.725	4163712.801	734923.39	584677.529	340182.405	36225.138
2010	6956823.588	1039304.03	4209593.724	736412.998	591352.345	343287.422	36873.069
2011	7041194.16799999	1066409.712	4255189.624	737850.645	597994.701	346251.161	37498.325
2012	7125827.957	1094343.029	4300462.191	739225.166	604599.457	349093.381	38104.733
2013	7210582.041	1123045.137	4345331.317	740541.875	611143.935	351824.035	38695.742
2014	7295290.759	1152433.618	4389699.496	741818.28	617596.481	354464.254	39278.63
2015	7379796.967	1182438.803	4433475.322	743058.978	623934.126	357031.045	39858.693
2016	7464021.934	1213040.542	4476607.792	744268.79	630144.544	359524.635	40435.631
2017	7547858.9	1244222.269	4519040.016	745414.757	636233.132	361942.247	41006.479
2018	7631091.113	1275921.014	4560667.137	746419.436	642216.709	364295.994	41570.823
2019	7713468.20500001	1308064.176	4601371.266	747182.815	648120.956	366600.944	42128.048
2020	7794798.729	1340598.113	4641054.786	747636.045	653962.332	368869.644	42677.809
2025	8184437.453	1508935.203	4822629.449	745791.28	681896.016	379851	45334.505
2030	8548487.371	1688321.117	4974091.892	741302.519	706254.029	390598.863	47918.951
2035	8887524.229	1878193.704	5096362.054	735101.257	726395.32	401051.043	50420.851
2040	9198847.382	2076749.579	5188948.654	727810.629	742347.826	410177.116	52813.578
2045	9481803.272	2281452.503	5253195.064	719668.905	754286.998	418070.174	55129.628
2050	9735033.9	2489275.439	5290263.119	710486.326	762432.299	425200.383	57376.334
2055	9958098.746	2697840.372	5301659.274	700120.74	766792.349	432147.654	59538.357
2060	10151469.683	2904977.434	5289216.191	688790.495	767494.831	439379.231	61611.501
2065	10317879.315	3108930.722	5256441.214	677295.003	764717.078	446902.748	63592.55
2070	10459239.501	3307527.593	5206541.839	666590.757	758723.465	454369.362	65486.485
2075	10577288.195	3498756.632	5142760.869	657283.42	749876.008	461329.184	67282.082
2080	10673904.454	3680570.725	5068512.53	649588.761	738619.999	467638.872	68973.567
2085	10750662.353	3850825.875	4986908.239	643398.834	725502.285	473463.924	70563.196
2090	10809892.303	4008137.739	4901149.46	638368.566	711055.912	479096.644	72083.982
2095	10851860.145	4151452.805	4812312.9	633920.856	695753.311	484875.21	73545.063
2100	10875393.719	4280127.131	4719906.92	629562.562	679992.94	490888.556	74915.61

